"Participant" "Bias" "Named" "AGEYEAR" "DiscardTrial"
"461" "P154Task2" "FLAT" "B" "Two" 0
"462" "P154Task2" "FLAT" "C" "Two" 0.333333333333333
"463" "P155Task2" "ABC" "A" "Two" 0
"464" "P155Task2" "ABC" "B" "Two" 0
"465" "P155Task2" "CBA" "B" "Two" 0
"466" "P155Task2" "CBA" "C" "Two" 0
"467" "P155Task2" "FLAT" "A" "Two" 0
"468" "P155Task2" "FLAT" "B" "Two" 0
"469" "P155Task2" "FLAT" "C" "Two" 0
"470" "P156Task2" "ABC" "A" "Two" 0
"471" "P156Task2" "ABC" "B" "Two" 0
"472" "P156Task2" "CBA" "B" "Two" 0
"473" "P156Task2" "CBA" "C" "Two" 0
"474" "P156Task2" "FLAT" "A" "Two" 0
"475" "P156Task2" "FLAT" "B" "Two" 0
"476" "P156Task2" "FLAT" "C" "Two" 0
"477" "P157Task1" "ABC" "A" "Two" 0
"478" "P157Task1" "ABC" "B" "Two" 0
"479" "P157Task1" "CBA" "B" "Two" 0
"480" "P157Task1" "CBA" "C" "Two" 0.166666666666667
"481" "P157Task1" "FLAT" "A" "Two" 0
"482" "P157Task1" "FLAT" "B" "Two" 0
"483" "P157Task1" "FLAT" "C" "Two" 0
"484" "P158Task1" "ABC" "A" "Three" 0
"485" "P158Task1" "ABC" "B" "Three" 0
"486" "P158Task1" "CBA" "B" "Three" 0
"487" "P158Task1" "CBA" "C" "Three" 0
"488" "P158Task1" "FLAT" "A" "Three" 0.333333333333333
"489" "P158Task1" "FLAT" "B" "Three" 0
"490" "P158Task1" "FLAT" "C" "Three" 0
"491" "P159Task1" "ABC" "A" "Three" 0
"492" "P159Task1" "ABC" "B" "Three" 0
"493" "P159Task1" "CBA" "B" "Three" 0
"494" "P159Task1" "CBA" "C" "Three" 0
"495" "P159Task1" "FLAT" "A" "Three" 0
"496" "P159Task1" "FLAT" "B" "Three" 0
"497" "P159Task1" "FLAT" "C" "Three" 0
"498" "P15Task1" "ABC" "A" "Three" 0
